Line,bus0,bus1,r,x,b,s_nom,s_max_pu,length,num_parallel,type,g,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,carrier,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
44,BPAT0 3,GRID0 0,0.32567966559957146,5.316952759512277,4.208187640276051e-05,15453.892960668405,0.9999999999999997,116.3780505973076,38.408563327032134,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,BPAT0 3,PACW0 0,1.6865776798415522,20.704947850927276,0.00015841906992578245,9336.94234087647,0.9999999999999998,453.5353466984168,23.20570888468809,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,BPAT0 3,PGE0 0,0.3125924965560366,2.5281297068685253,0.00023442592663667835,10966.481721399381,1.0,194.74418850327248,27.255708884688094,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,BPAT0 4,IPCO0 0,1.8416482770194902,14.7922805054782,0.00017472044849196748,4200.590403125732,1.0,390.49811825322286,10.44,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,BPAT0 5,PACW0 0,1.6828281712141326,18.790311874952472,0.00011763173088518469,7456.794110444108,1.0,370.8264137674888,18.532854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,BPAT0 5,PGE0 0,0.026225863736844508,0.19467342116833591,0.00010155547645078356,21685.229646616765,1.0,32.216452946648324,53.89570888468809,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,BPAT0 5,US0 0,3.88338086784133,34.5189410474785,0.0,1339.8434906521732,1.0,658.2948286001738,3.33,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,CHPD0 0,DOPD0 0,0.14012476195084378,2.461947800992997,4.213836566059755e-05,25116.743177649456,1.0,80.18586068985817,62.42427221172023,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,CISO-PGAE0 0,CISO-PGAE0 2,0.6301498131360322,5.011150816131649,0.00016132382575657914,7275.734179274895,1.0,221.39464798629132,18.082854442344043,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,CISO-PGAE0 0,CISO-PGAE0 3,3.580818442786441,61.75451896618887,2.809114896411257e-05,4596.047197970549,1.0,334.45988291997645,11.422854442344045,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,CISO-PGAE0 0,CISO-PGAE0 4,0.6469075889442941,6.864316790630293,0.00012817961830313368,8796.637601096281,1.0,239.4031401314142,21.862854442344045,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,CISO-PGAE0 0,NEVP0 0,2.604374604188896,15.997394792071495,0.0003002833253089087,6527.353130442149,1.0,556.3061914457132,16.222854442344044,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,CISO-PGAE0 0,PACW0 0,5.59973622338718,149.67075521761544,2.8208988827091048e-05,4451.199253035179,1.0,495.97262524990856,11.062854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,CISO-PGAE0 1,CISO-PGAE0 2,12.350876293420868,64.25799237307095,4.4400005572760354e-05,289.69588987074013,1.0,409.34207538398937,0.72,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,CISO-PGAE0 1,CISO-PGAE0 3,0.8762315075084106,10.150507233457303,7.61066754160225e-05,7456.794110444108,1.0,219.87967275724827,18.532854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,CISO-PGAE0 1,CISO-SCE0 3,0.3134908316307365,4.19265135601778,0.0001248084854118363,18459.487818077334,0.9999999999999998,182.9664173091034,45.87856332703214,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,CISO-PGAE0 1,CISO-SCE0 5,0.3306802258718098,2.3125645671582404,9.840261988239919e-05,4309.226361827259,1.0,115.79329213404635,10.709999999999997,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,CISO-PGAE0 1,CISO-SCE0 6,2.4633366145350086,67.908198562857,7.892342006286867e-06,4451.199253035179,1.0,203.77970152759727,11.062854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,CISO-PGAE0 1,US0 0,113.11682284858523,1005.4828697652022,0.0,905.2996558460629,1.0,782.9200354409461,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,CISO-PGAE0 2,CISO-PGAE0 3,1.9232088482185037,20.597922246183106,5.256928952556096e-05,4885.743087841289,1.0,258.909811732688,12.142854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,CISO-PGAE0 2,CISO-PGAE0 4,2.4719767084311948,37.186974692467096,6.787984639118844e-05,5501.346853816613,0.9999999999999999,374.0964264005103,13.672854442344045,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,CISO-PGAE0 2,Morro_Bay0 0,1.9415567715811068,17.258282414054282,0.0,144.84794493537007,1.0,273.3713605464398,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,CISO-PGAE0 2,TID0 0,1.0612055596370802,6.06712225661971,4.587391402892314e-05,724.2397246768503,1.0,132.78505949766543,1.7999999999999998,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,CISO-PGAE0 2,US0 0,7.220388171731716,64.18122819317081,0.0,3621.1986233842517,1.0,389.92234932654026,9.0,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,CISO-PGAE0 3,CISO-SCE0 2,0.49451494013250413,3.9567997238280954,6.248946994681851e-05,3440.1386922150396,0.9999999999999998,115.84728786469816,8.55,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,CISO-PGAE0 3,CISO-SCE0 5,0.7076846821988334,4.369171096713474,0.00010208576296757394,1774.3873254582836,0.9999999999999998,161.21682555165097,4.41,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,CISO-PGAE0 3,CISO-SCE0 6,3.676588934634683,110.27705165249112,1.4521555105519763e-05,4451.199253035179,1.0,339.15205227692365,11.062854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,CISO-PGAE0 3,NEVP0 0,4.420467886131208,123.84276434569593,1.6042058248944927e-05,4451.199253035179,1.0,386.65488750827103,11.062854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,CISO-PGAE0 3,TID0 0,0.3905597211943106,4.441695197043279,6.674864742096854e-05,10531.93788659327,1.0,129.7253524709874,26.175708884688092,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,CISO-PGAE0 4,Humboldt0 0,29.872536198736682,265.5336550998816,0.0,905.2996558460629,1.0,191.83687889607756,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,CISO-PGAE0 4,PACW0 0,0.6798833446888349,6.482959127279198,0.00023698696089480078,12777.081033091508,0.9999999999999998,298.0253879859707,31.75570888468809,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,CISO-PGAE0 4,US0 0,0.10323387572381891,0.9176344508783905,0.0,1339.8434906521732,1.0,25.35578024495871,3.33,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,CISO-SCE0 0,CISO-SCE0 3,0.5243664681640621,4.762007958601039,4.509272716982077e-05,6080.738633558092,1.0,111.51830447381529,15.112854442344043,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,CISO-SCE0 0,CISO-SCE0 4,0.20250346360915372,1.3188582404958655,0.00010115734783753156,6768.7663720011,1.0,81.75908560700577,16.822854442344045,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,CISO-SCE0 0,CISO-SCE0 6,0.86181741810373,7.857875084240907,5.057322130507237e-05,3005.594857408929,1.0,156.81276972077148,7.47,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,CISO-SCE0 0,CISO-SDGE0 0,1.0207447959406701,7.635491992407339,7.415873050003776e-05,1484.6914355875435,0.9999999999999998,170.79495872760265,3.6899999999999995,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,CISO-SCE0 0,LADWP0 0,0.02629655433867048,0.19808335176666977,0.00020434814983030425,27913.691278837672,1.0,41.19928473828213,69.3757088846881,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
