generatorkey,ads_name,long id,bus id,bus name,devstatus,balancing_area,region name,plant_id_ads,plant_id_eia,generator_id_ads,lat,lon
19219,moapasolar,NV-62248-1,180653,ACS_GEN,Future-Planned,NEVP,SW_NVE,62248,62248,1,36.459259,-114.8444
16788,estanciasolarproject,NM-62191-,12103,ESTANCIA,Existing,PNM,SW_PNM,62191,62191,,34.783205,-106.0511
17012,desertharvest,CA-62177-DH001,25032,DSTHVST_G1,Under Construction,CISC,CA_CISO,62177,62177,DH001,33.8,-115.38
18286,labishsolarllclspv2pvnt22,62171_,43377,COVANTA,Existing,PGE,NW_PGE,6,62171,1-Feb,45.023,-122.922
18267,ballstonsolarllcbspv1pvnt22,62170_,43521,SHERIDAN,Existing,PGE,NW_PGE,6,62170,1-Feb,45.077,-123.395
18270,boringsolarllcbspv2pvnt22,62169_,43151,DUNSCRNR,Existing,PGE,NW_PGE,6,62169,1-Feb,45.431,-122.285
15977,huntingtonbeachcc1a,CA-62116-CC,24580,HUNTBCH CTG1,Existing,CISC,CA_CISO,62116,62116,CC,33.645618,-117.9794
15978,huntingtonbeachcc1b,CA-62116-CC,24581,HUNTBCH CTG2,Existing,CISC,CA_CISO,62116,62116,CC,33.645618,-117.9794
15897,alamitoscc1a,CA-62115-CC,24575,ALAMT CTG1,Existing,CISC,CA_CISO,62115,62115,CC,33.767229,-118.1002
15898,alamitoscc1b,CA-62115-CC,24576,ALAMT CTG2,Existing,CISC,CA_CISO,62115,62115,CC,33.767229,-118.1002
16159,citizensolar,CA-62052-CIS1,21018,CTZNS_G,Future-Planned,IID,CA_IID,62052,62052,CIS1,33.191661,-115.4338
17530,mustang2barbarosolar,62015_M2BAR,30880,HENTAP2,Existing,CIPV,CA_CISO,6,62015,Feb-00,36.216806,-119.8964
16413,pioneersolar,CO-61991-P1-QF,70502,PIONEER_IR_S,Under Construction,PSCO,RM_PSCO,61991,61991,P1-QF,39.761569,-104.459
16144,techrenv2,NV-61930-TECH2,18546,TECHREN2-G,Future-Planned,NEVP,SW_NVE,61930,61930,TECH2,35.867258,-114.9564
17729,ontariosolarcenter,nan,60140,EMMETT,Existing,IPTV,BS_IPCO,n,61860,a-n,44.112841,-117.0281
16930,stillwaterwind,MT-61858-WT,623581,STLWTR W GEN,Existing,NWMT,NW_NWMT,61858,61858,WT,45.86584,-109.4766
16118,eagleshadowmountain1,NV-61852-ESMSF,18788,EGLESHDW-G1,Future-Planned,NEVP,SW_NVE,61852,61852,ESMSF,36.629761,-114.684
16143,eagleshadowmountain2,NV-61852-ESMSF,18793,EGLESHDW-G2,Future-Planned,NEVP,SW_NVE,61852,61852,ESMSF,36.629761,-114.684
17324,tularebiomatfuelcell,CA-61846-MM-27,24235,RECTOR,Existing,CISC,CA_CISO,61846,61846,MM-27,36.187138,-119.3751
18282,grandrondesolarpgrc4pvnt22,61835_,43221,GRNDROND,Existing,PGE,NW_PGE,6,61835,8-Jan,45.054,-123.61
18284,interstatesolarpgrc5pvnt22,61832_,43655,WOODBURN,Existing,PGE,NW_PGE,6,61832,8-Jan,45.129,-122.899
18275,coltonsolarpgrc2pvnt22,61831_,43105,COLTON,Existing,PGE,NW_PGE,6,61831,8-Jan,45.17,-122.473
18501,sheepsolarpgrc8pvnt22,61830_,45589,PARISHGP,Existing,PACW,NW_PACW,6,61830,8-Jan,44.826,-122.949
18502,silvertonsolarpgrc7pvnt22,61829_,43529,SILVRTON,Existing,PGE,NW_PGE,6,61829,8-Jan,45.014,-122.807
18521,valleycreeksolarpgrc6pvnt22,61828_,40209,CHEMAWA,Existing,BPAT,NW_BPAT,6,61828,8-Jan,45.033,-123.094
18277,daytoncutoffsolarpgrc3pvnt22,61827_,43137,DAYTON,Existing,PGE,NW_PGE,6,61827,8-Jan,45.17,-123.135
16414,titansolar,CO-61811-PCEC,70616,TITAN_S1,Existing,PSCO,RM_PSCO,61811,61811,PCEC,39.68646,-104.014
17885,sunselect11gt4,61754_,24436,GOLDTOWN,Existing,CISC,CA_CISO,6,61754,7-Jan,35.096709,-118.6022
16787,carrizozosolarproject,NM-61662-,12138,C_CANYON,Existing,PNM,SW_PNM,61662,61662,,33.610306,-105.7478
17758,vistaenergystorage1ba40,61661_,23541,ME GEN 1_BS1,Existing,CISD,CA_CISO,6,61661,6-Jan,33.203977,-117.2539
18258,chiloquinsolarllcsaturnp0pvt99,61631_CHILO,45045,CHILQUIN,Existing,PACW,NW_PACW,6,61631,6-Jan,42.610732,-121.8612
16119,techrenv1,NV-61611-TECH1,18543,TECHREN1-G,Future-Planned,NEVP,SW_NVE,61611,61611,TECH1,35.851336,-114.9744
16282,voyager2g2,CA-61582-VYGR2,29595,Voyager3_G,Existing,CISC,CA_CISO,61582,61582,VYGR2,35.073377,-118.2686
16283,voyager2g1,CA-61582-VYGR2,29598,Voyager2_G2,Existing,CISC,CA_CISO,61582,61582,VYGR2,35.073377,-118.2686
20624,tumbleweedsolarllc,OR-61580-TUMBL,45239,PILOTBT,Existing,PACW,NW_PACW,61580,61580,TUMBL,44.192575,-121.2331
18266,woodlinesolarllc1pvt8,61559_,45189,MALIN,Existing,PACW,NW_PACW,6,61559,5-Jan,42.236443,-121.5777
20625,klamathfallssolar2llc,OR-61553-1,45262,KFALLS,Existing,PACW,NW_PACW,61553,61553,1,42.183,-121.764
17557,cesdairybiogas,61503_,34874,WHEELER,Existing,CIPV,CA_CISO,6,61503,5-Jan,35.17306,-119.1164
17558,lakeviewdairybiogas,61502_,34903,PANMJCT1,Existing,CIPV,CA_CISO,6,61502,5-Jan,35.21426,-119.203
17559,weststardairybiogas,61501_,34746,GANSO,Existing,CIPV,CA_CISO,6,61501,5-Jan,35.472113,-119.4329
18259,elbesolarcenterllc0pvt10,61497_ELBE,43409,PELTON,Existing,PGE,NW_PGE,6,61497,4-Jan,44.618,-121.205
17091,adamssolaror,OR-61496-ADAMS,43409,PELTON,Existing,PGE,NW_PGE,61496,61496,ADAMS,44.675,-121.122
18089,beaconbatteryenergystorage,61431_1,26901,BCN_BESS1,Existing,LDWP,CA_LDWP,6,61431,4-Jan,35.256526,-118.0275
18263,orsolar6llclakeviewsolar1pvt10,61430_PV6,48179,LAKEVIEW,Existing,AVA,NW_AVA,6,61430,4-Jan,42.208988,-120.3678
18264,orsolar8llcdairysolar0pvt10,61424_PV1,45140,DAIRY,Existing,PACW,NW_PACW,6,61424,4-Jan,42.238888,-121.5858
13568,valencia2,CA-61418-VAL2,21876,V2_GEN,Existing,IID,CA_IID,61418,61418,VAL2,33.04358,-115.6278
15539,sweetwater,WY-61369-PV1,66328,SWATER,Existing,PAWY,BS_PACE,61369,61369,PV1,41.629056,-109.6835
16933,topgunenergystorage,CA-61366-TGES,23412,Q1434_G,Existing,CISD,CA_CISO,61366,61366,TGES,32.876198,-117.1678
16935,fallbrookenergystorage,CA-61365-FBES,23544,Q1169_BESS1,Existing,CISD,CA_CISO,61365,61365,FBES,33.384244,-117.2353
19148,wyeastsolar0pvt10,61345_PV1,47330,PATU#,Existing,BPAT,NW_BPAT,6,61345,3-Jan,45.5846,-120.5999
