GeneratorKey,Name,plant_name_eia,Long ID,plant_id_eia,Long Name,generator_id,latitude,longitude,merged_type
1248,diablocanyon1,diablocanyon,CA-6099-1,6099,diablocanyon1,1,35.211536,-120.8555,Long_ID
1249,diablocanyon2,diablocanyon,CA-6099-2,6099,diablocanyon2,1,35.211536,-120.8555,Long_ID
1271,rckirkwood1,rckirkwood,CA-382-1,382,rckirkwood1,1,37.877667,-119.9532,Long_ID
1272,rckirkwood2,rckirkwood,CA-382-2,382,pfnolarrckirkwood2,1,37.877667,-119.9532,Long_ID
1273,eastridge1,kernrivereastridge,CA-52107-101A,52107,chevronusakernrivereastridgecogen101a,101A,35.4406,-118.9617,Long_ID
1274,mckittrickltd,mckittrickcogenfacility,CA-50612-GEN1,50612,mckittrickcogenmckittricklimited1,GEN1,35.319503,-119.662,Long_ID
1275,liveoakcogen,liveoaklimited,CA-54768-GEN1,54768,liveoakcogengen1,GEN1,35.4837,-119.0298,Long_ID
1278,berrytannehills181,berrycogent,CA-50622-GEN1,50622,berrycogentannehills18gen1,GEN1,35.089829,-119.4409,Long_ID
1279,fritolaycogen,recotinccogen,CA-10110-GEN1,10110,fritolaycogenplantgen1,GEN1,35.395063,-119.3216,Long_ID
1283,balch22,balch2,CA-218-2,218,balch22,2,36.908907,-119.0876,Long_ID
1284,balch23,balch2,CA-218-3,218,balch23,2,36.908907,-119.0876,Long_ID
1285,kingsriverhy,kingsriverph,CA-254-H1,254,kingsriverh1,H1,36.888166,-119.1588,Long_ID
1288,balch11,balch1,CA-217-1,217,balch11,1,36.909137,-119.0877,Long_ID
1302,coalinga25d1,chevroncoalinga25d,CA-52086-TG1,52086,coalinga25dcogentg1,TG1,36.1556,-120.3972,Long_ID
1310,kingsrivergt1,kingsriver,CA-56239-GT-1,56239,kingsriverconservdistkrcdmalagapeakingplantgt1,GT-1,36.6697,-119.7404,Long_ID
1313,mckittrick1rp,mckittrickcogenfacility,CA-50612-GEN1,50612,mckittrickcogenmckittricklimited1,GEN1,35.319503,-119.662,Long_ID
1315,midwaysunseta,midwaysunsetcogen,CA-52169-A,52169,midwaysunsetcogena,A,35.2269,-119.6294,Long_ID
1316,midwaysunsetb,midwaysunsetcogen,CA-52169-B,52169,midwaysunsetcogenb,A,35.2269,-119.6294,Long_ID
1317,midwaysunsetc,midwaysunsetcogen,CA-52169-C,52169,midwaysunsetcogenc,A,35.2269,-119.6294,Long_ID
1322,doublec1,doublec,CA-50493-DC1,50493,doublec1,DC1,35.5005,-119.046,Long_ID
1324,kernfrontkf1,kernfrontlimited,CA-50494-KF1,50494,kernfrontkf1,KF1,35.51647,-119.0401,Long_ID
1325,highsierra1,highsierralimited,CA-50495-HS1,50495,highsierra1,HS1,35.509041,-119.0305,Long_ID
1327,badgercreek,badgercreeklimited,CA-10650-GEN1,10650,badgercreekcogengen1,GEN1,35.483736,-119.0299,Long_ID
1331,mtposocogen,mtposocogen,CA-54626-TG01,54626,mtposocogenerationtg01,TG01,35.576323,-119.0062,Long_ID
1333,chalkcliff,chalkclifflimited,CA-50003-GEN1,50003,chalkcliffcogengen1,GEN1,35.0968,-119.4299,Long_ID
1336,rckirkwood3,rckirkwood,CA-382-3,382,pfnolarrckirkwood3,1,37.877667,-119.9532,Long_ID
1337,dionrholm1,dionrholm,CA-380-1,380,pfnolardionrholm1,1,37.896649,-119.9675,Long_ID
1338,dionrholm2,dionrholm,CA-380-2,380,pfnolardionrholm2,1,37.896649,-119.9675,Long_ID
1339,moccasin1,moccasin,CA-381-1,381,pfnolarmoccasin1,1,37.809388,-120.2993,Long_ID
1340,moccasin2,moccasin,CA-381-2,381,pfnolarmoccasin2,1,37.809388,-120.2993,Long_ID
1353,scacogen2gt,sca,CA-7551-CT1C,7551,proctergamblectct1c,CCST,38.530943,-121.4001,Long_ID
1382,tigercreekh1,tigercreek,CA-287-H1,287,tigercreekh1,H1,38.449291,-120.4926,Long_ID
1386,electra3,electra,CA-239-3,239,electra3,1,38.330985,-120.6699,Long_ID
1387,electra2,electra,CA-239-2,239,electra2,1,38.330985,-120.6699,Long_ID
1388,electra1,electra,CA-239-1,239,electra1,1,38.330985,-120.6699,Long_ID
1389,riponmillgen1,altagasriponenergyinc,CA-50299-GEN1,50299,riponmillgen1,GEN1,37.732533,-121.116,Long_ID
1395,saltsprings2,saltsprings,CA-279-2,279,saltsprings2,1,38.497914,-120.2181,Long_ID
1396,saltsprings1,saltsprings,CA-279-1,279,saltsprings1,1,38.497914,-120.2181,Long_ID
1398,oxmountain7,amerescooxmountain,CA-56895-Ag,56895,oxmountain7,1,37.5,-122.4,Long_ID
1399,oxmountain6,amerescooxmountain,CA-56895-6,56895,amerescooxmountain6,1,37.5,-122.4,Long_ID
1400,oxmountain5,amerescooxmountain,CA-56895-5,56895,amerescooxmountain5,1,37.5,-122.4,Long_ID
1401,oxmountain4,amerescooxmountain,CA-56895-4,56895,amerescooxmountain4,1,37.5,-122.4,Long_ID
1402,oxmountain3,amerescooxmountain,CA-56895-3,56895,amerescooxmountain3,1,37.5,-122.4,Long_ID
1403,oxmountain2,amerescooxmountain,CA-56895-2,56895,amerescooxmountain2,1,37.5,-122.4,Long_ID
1404,oxmountain1,amerescooxmountain,CA-56895-1,56895,amerescooxmountain1,1,37.5,-122.4,Long_ID
1405,sriintcgn,sriinternationalcogen,CA-50537-GEN1,50537,sriinternationalcogenprojectgen1,GEN1,37.455314,-122.1728,Long_ID
1412,riverviewec,riverviewenergycenter,CA-55963-CTG1,55963,riverviewenergycenterctg1,CTG1,38.014423,-121.7907,Long_ID
1413,altamont1,altamontgasrecovery,CA-50571-GEN1,50571,altamontgasrecoverygen1,GEN1,37.749308,-121.6499,Long_ID
1445,richmondcgn1,richmondcogen,CA-52109-GEN1,52109,richmondcogengen1,GEN1,37.9418,-122.3909,Long_ID
1446,phillipscarbon,carbon,CA-50388-GEN1,50388,contracostacarbonplant,GEN1,38.018056,-122.2344,Long_ID
1447,phillipsrodeoc,conocophillipsrodeorefinery,CA-50119-GENC,50119,phillips66rodeorefinerytoscogenc,GENA,38.0417,-122.2583,Long_ID
1448,phillipsrodeob,conocophillipsrodeorefinery,CA-50119-GENB,50119,phillips66rodeorefinerytoscogenb,GENA,38.0417,-122.2583,Long_ID
1449,phillipsrodeoa,conocophillipsrodeorefinery,CA-50119-GENA,50119,phillips66rodeorefinerytoscogena,GENA,38.0417,-122.2583,Long_ID
1459,nimbus1,nimbus,CA-444-1,444,nimbus1,1,38.63735,-121.2202,Long_ID
1460,nimbus2,nimbus,CA-444-2,444,nimbus2,1,38.63735,-121.2202,Long_ID
1477,alameda1,alameda,CA-7450-1,7450,alameda1,1,37.7886,-122.2889,Long_ID
1478,alameda2,alameda,CA-7450-2,7450,alameda2,1,37.7886,-122.2889,Long_ID
1511,thermalito1,thermalito,CA-438-1,438,thermalito1,1,39.514893,-121.6301,Long_ID
1515,pineflat1,pineflat,CA-7907-1,7907,pineflat1,1,36.8326,-119.327,Long_ID
1516,pineflat2,pineflat,CA-7907-2,7907,pineflat2,1,36.8326,-119.327,Long_ID
1517,pineflat3,pineflat,CA-7907-3,7907,pineflat3,1,36.8326,-119.327,Long_ID
1518,wrgianelli1,wrgianelli,CA-448-1,448,sanluispumpingplantwrgianelli1,1,37.0692,-121.0772,Long_ID
1519,wrgianelli2,wrgianelli,CA-448-2,448,sanluispumpingplantwrgianelli2,1,37.0692,-121.0772,Long_ID
