CAMD_STATE,CAMD_FACILITY_NAME,CAMD_PLANT_ID,CAMD_UNIT_ID,CAMD_GENERATOR_ID,CAMD_NAMEPLATE_CAPACITY,CAMD_STATUS,MOD_CAMD_UNIT_ID,MOD_CAMD_GENERATOR_ID,EIA_STATE,EIA_PLANT_NAME,EIA_PLANT_ID,EIA_GENERATOR_ID,PLANT_ID_CHANGE_FLAG,MOD_EIA_PLANT_ID,MOD_EIA_BOILER_ID,MOD_EIA_GENERATOR_ID_BOILER,MOD_EIA_GENERATOR_ID_GEN,MATCH_TYPE_GEN,MATCH_TYPE_BOILER
AL,Colbert,47,2,2,200,RET,2,2,AL,Colbert,47,2,0,47,2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Colbert,47,3,3,200,RET,3,3,AL,Colbert,47,3,0,47,3,3,3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Colbert,47,4,4,200,RET,4,4,AL,Colbert,47,4,0,47,4,4,4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Colbert,47,5,5,550,RET,5,5,AL,Colbert,47,5,0,47,5,5,5,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Colbert,47,CCT1,GT1,59.5,OPR,CCT1,GT1,AL,Colbert,47,GT1,0,47,,,GT1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Colbert,47,CCT2,GT2,59.5,OPR,CCT2,GT2,AL,Colbert,47,GT2,0,47,,,GT2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Colbert,47,CCT3,GT3,59.5,OPR,CCT3,GT3,AL,Colbert,47,GT3,0,47,,,GT3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Colbert,47,CCT4,GT4,59.5,OPR,CCT4,GT4,AL,Colbert,47,GT4,0,47,,,GT4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Colbert,47,CCT5,GT5,59.5,OPR,CCT5,GT5,AL,Colbert,47,GT5,0,47,,,GT5,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Colbert,47,CCT6,GT6,59.5,OPR,CCT6,GT6,AL,Colbert,47,GT6,0,47,,,GT6,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
